iter	RMSE
298	11720.32131
299	11701.9733
300	11700.70303
301	11686.75295
302	11682.17997
303	11663.94991
304	11646.89153
305	11626.27355
306	11625.53113
307	11624.30838
308	11609.52529
309	11603.11506
310	11593.64419
311	11575.13758
312	11574.42912
313	11560.66357
314	11556.04877
315	11552.08178
316	11532.63775
317	11531.48058
318	11530.51052
319	11527.8619
320	11527.21903
321	11525.12202
322	11504.10387
323	11489.85896
324	11481.42774
325	11472.57194
326	11459.54549
327	11457.55944
328	11437.33855
329	11434.8982
330	11431.71962
331	11430.11395
332	11428.41529
333	11425.21525
334	11407.73891
335	11406.92625
336	11382.61331
337	11381.74883
338	11380.95254
339	11379.64121
340	11362.43332
341	11360.41952
342	11359.69066
343	11348.04537
344	11326.52258
345	11323.80149
346	11310.8061
347	11302.08957
348	11294.797
349	11286.62852
350	11276.39655
351	11275.67309
352	11259.55656
353	11257.72111
354	11237.61658
355	11232.46954
356	11221.46062
357	11206.38709
358	11187.68585
359	11186.32862
360	11185.16835
361	11183.95999
362	11174.2943
363	11159.92002
364	11159.10283
365	11150.16342
366	11149.55643
367	11147.96912
368	11137.54803
369	11126.87439
370	11125.80822
371	11125.07889
372	11111.83311
373	11092.37419
374	11079.8889
375	11079.3294
376	11077.69025
377	11062.78109
378	11062.25713
379	11061.57988
380	11050.7691
381	11029.86919
382	11021.39855
383	11007.83547
384	11006.76875
385	11006.32273
386	11004.85015
387	11003.78042
388	10983.74856
389	10967.182
390	10965.66265
391	10964.04902
392	10963.42803
393	10951.02213
394	10940.64756
395	10934.1993
396	10933.67062
397	10916.10909
398	10904.86588
399	10903.5317
400	10892.6178
401	10881.38656
402	10870.08117
403	10869.55703
404	10855.60586
405	10854.30748
406	10841.49075
407	10840.75737
408	10840.35607
409	10839.53266
410	10834.4141
411	10834.02054
412	10828.15215
413	10813.49759
414	10806.80968
415	10796.56509
416	10790.83391
417	10790.49156
418	10779.61819
419	10779.24103
420	10774.62974
421	10760.20179
422	10759.84336
423	10747.01622
424	10731.65177
425	10721.43187
426	10704.55402
427	10693.42919
428	10677.51048
429	10673.07113
430	10659.78704
431	10651.26293
432	10646.99527
433	10632.70474
434	10628.58263
435	10615.02843
436	10604.32342
437	10602.79669
438	10591.51352
439	10587.54399
440	10583.69095
441	10574.64801
442	10570.9413
443	10563.80976
444	10549.62288
445	10540.7204
446	10534.48495
447	10532.85248
448	10524.83205
449	10521.25767
450	10519.88516
451	10517.9102
452	10502.99625
453	10496.48044
454	10482.13279
455	10478.71487
456	10471.73363
457	10468.41057
458	10461.47835
459	10445.71191
460	10433.49196
461	10424.87075
462	10415.41476
463	10403.3717
464	10402.68779
465	10396.69831
466	10388.83903
467	10382.08084
468	10376.61706
469	10362.30827
470	10355.34931
471	10347.72708
472	10346.5787
473	10342.23037
474	10332.80703
475	10325.48879
476	10324.21337
477	10322.87361
478	10320.96679
479	10307.44895
480	10300.50203
481	10299.29459
482	10284.49117
483	10280.10948
484	10265.35345
485	10258.78361
486	10255.20816
487	10248.86379
488	10239.01504
489	10224.28312
490	10214.56613
491	10206.58895
492	10206.28688
493	10191.85243
494	10188.90296
495	10182.8444
496	10162.5999
497	10151.2426
498	10135.18128
499	10129.53139
500	10120.98772
501	10110.15145
502	10100.09991
503	10099.77591
504	10096.31285
505	10094.04444
506	10093.07558
507	10085.08816
508	10074.85037
509	10074.53963
510	10066.34108
511	10065.74952
512	10057.67008
513	10042.79957
514	10029.51837
515	10017.16557
516	10011.36048
517	10003.65255
518	9989.937484
519	9987.34969
520	9981.978642
521	9974.645753
522	9966.297456
523	9965.398405
524	9962.892428
525	9952.359637
526	9941.901463
527	9941.042495
528	9935.700758
529	9931.471445
530	9919.510477
531	9919.198273
532	9918.860978
533	9908.705086
534	9903.149221
535	9902.900107
536	9888.422988
537	9878.818542
538	9878.425453
539	9873.994388
540	9864.486861
541	9861.946146
542	9861.73592
543	9859.672209
544	9854.578513
545	9852.513369
546	9849.308992
547	9836.76092
548	9832.727259
549	9828.804495
550	9819.667038
551	9805.695044
552	9800.928063
553	9797.289119
554	9783.722867
555	9769.012602
556	9754.445256
557	9753.522938
558	9743.065173
559	9729.815916
560	9724.042726
561	9709.077143
562	9704.161953
563	9698.028576
564	9695.726966
565	9687.603157
566	9679.391329
567	9675.404393
568	9663.470693
569	9653.365357
570	9645.139368
571	9631.778957
572	9623.939331
573	9622.132343
574	9613.065542
575	9604.927613
576	9601.332736
577	9589.223799
578	9585.378375
579	9579.030175
580	9575.817372
581	9560.737259
582	9559.794313
583	9549.282061
584	9544.016094
585	9532.507619
586	9530.690826
587	9526.556865
588	9523.661004
589	9516.036768
590	9506.92901
591	9496.198064
592	9494.250868
593	9491.308939
594	9490.831575
595	9481.311868
596	9475.728465
597	9466.403996
598	9464.350188
599	9454.254074
600	9445.516828
601	9441.778385
602	9436.619793
603	9433.399827
604	9429.808529
605	9420.878646
606	9418.724004
607	9411.237096
608	9406.36489
609	9394.661685
610	9386.102358
611	9372.752314
612	9369.719368
613	9358.569931
614	9355.544708
615	9349.159235
616	9344.763562
617	9333.064437
618	9327.025754
619	9318.465593
620	9310.990665
621	9309.480329
622	9306.192825
623	9295.464202
624	9292.280662
625	9290.870493
626	9289.417448
627	9277.652595
628	9269.438154
629	9268.143296
630	9265.459777
631	9256.634874
632	9254.022339
633	9245.890049
634	9239.924273
635	9235.692192
636	9232.793811
637	9229.16512
638	9218.025138
639	9217.802148
640	9207.568983
641	9197.233914
642	9188.221911
643	9185.580432
644	9183.16752
645	9172.217836
646	9170.234038
647	9169.929776
648	9163.586851
649	9156.420743
650	9147.634782
651	9147.04957
652	9136.699182
653	9136.412639
654	9126.122102
655	9123.581876
656	9117.975032
657	9114.636165
658	9112.06866
659	9111.558079
660	9109.122281
661	9098.479404
662	9088.576481
663	9083.437254
664	9082.11293
665	9077.323337
666	9068.23989
667	9063.531394
668	9060.576538
669	9049.120808
670	9043.737898
671	9041.505601
672	9028.143824
673	9018.687496
674	9013.879864
675	9006.42079
676	8996.364128
677	8989.190301
678	8982.847923
679	8979.164354
680	8970.83799
681	8969.910007
682	8968.755145
683	8966.982414
684	8958.207027
685	8956.407595
686	8954.547682
687	8950.900194
688	8941.008639
689	8936.708513
690	8933.628803
691	8927.786473
692	8927.648219
693	8924.739308
694	8921.35077
695	8907.801748
696	8905.897793
697	8904.115382
698	8899.394562
699	8892.475922
700	8883.360446
701	8879.323739
702	8875.604931
703	8868.698675
704	8860.679032
705	8849.536989
706	8845.289677
707	8839.932754
708	8831.307292
709	8821.955101
710	8819.90286
711	8810.665677
712	8808.983218
713	8804.608309
714	8795.264535
715	8791.851959
716	8788.896371
717	8786.543692
718	8778.142578
719	8770.900211
720	8763.212633
721	8762.067828
722	8753.547114
723	8751.799853
724	8741.284285
725	8738.438243
726	8735.194506
727	8726.357994
728	8718.430941
729	8717.176166
730	8710.520707
731	8703.594836
732	8699.376059
733	8690.465648
734	8681.196228
735	8678.215947
736	8676.415638
737	8670.51094
738	8663.817349
739	8657.859859
740	8653.416655
741	8651.968784
742	8650.492991
743	8643.698174
744	8636.936536
745	8635.272271
746	8632.782953
747	8629.71767
748	8621.860726
749	8614.566692
750	8611.310661
751	8609.066998
752	8601.652771
753	8592.804396
754	8587.740239
755	8585.745981
756	8579.25214
757	8575.511805
758	8572.836029
759	8570.255629
760	8562.707347
761	8556.637693
762	8552.687141
763	8548.680452
764	8539.852567
765	8536.063671
766	8528.124266
767	8521.403245
768	8519.978343
769	8517.943074
770	8511.09158
771	8505.909296
772	8500.560516
773	8497.151374
774	8492.740651
775	8489.090636
776	8484.959118
777	8481.519301
778	8480.092522
779	8476.578489
780	8468.447245
781	8459.874339
782	8458.365391
783	8456.190804
784	8454.617682
785	8447.443845
786	8444.19199
787	8436.139946
788	8431.403839
789	8425.989871
790	8425.552431
791	8421.51998
792	8415.342107
793	8410.555015
794	8405.073971
795	8403.059755
796	8396.440782
797	8390.851357
798	8383.71162
799	8379.170199
800	8374.379902
801	8373.236826
802	8365.821033
803	8362.613426
804	8357.569624
805	8356.174035
806	8350.304973
807	8339.643812
808	8332.061312
809	8328.749015
810	8324.383482
811	8317.025873
812	8311.486358
813	8308.506168
814	8301.561724
815	8297.082452
816	8291.683189
817	8288.115642
818	8283.726762
819	8278.367876
820	8271.483402
821	8264.561629
822	8259.462327
823	8255.608667
824	8249.748911
825	8246.618981
826	8240.593889
827	8236.199552
828	8234.049812
829	8229.895858
830	8226.288006
831	8221.319565
832	8219.877269
833	8218.632495
834	8216.452166
835	8211.148625
836	8209.984973
837	8203.195536
838	8197.150275
839	8192.858048
840	8185.075266
841	8183.800174
842	8179.991788
843	8175.337213
844	8172.373534
845	8165.400369
846	8163.82036
847	8163.09261
848	8159.170551
849	8157.836157
850	8151.971359
851	8149.11529
852	8142.3711
853	8136.265104
854	8131.899612
855	8127.35231
856	8120.653737
857	8119.888803
858	8113.172564
859	8103.642349
860	8099.197263
861	8095.236674
862	8094.585501
863	8088.498519
864	8087.04313
865	8086.300395
866	8084.148679
867	8077.929884
868	8075.241888
869	8074.517249
870	8073.810268
871	8069.661242
872	8063.426868
873	8057.703859
874	8052.52057
875	8050.036773
876	8049.030346
877	8045.379696
878	8040.766276
879	8035.989941
880	8032.643397
881	8030.419553
882	8028.049222
883	8022.218872
884	8017.213097
885	8016.864487
886	8011.48949
887	8005.965208
888	8003.469708
889	8001.438246
890	8000.144431
891	7995.93339
892	7992.118341
893	7984.040745
894	7977.494656
895	7974.96371
896	7974.597075
897	7972.462658
898	7971.843881
899	7971.191944
900	7964.24352
901	7959.296033
902	7953.833418
903	7951.878323
904	7947.775853
905	7943.546321
906	7939.548299
907	7936.860386
908	7929.293753
909	7922.703053
910	7919.508182
911	7915.964337
912	7913.77784
913	7904.542665
914	7903.049838
915	7896.806235
916	7889.551414
917	7888.361523
918	7883.32718
919	7880.018621
920	7875.572128
921	7870.147226
922	7864.979294
923	7856.918362
924	7854.635709
925	7847.694987
926	7840.131534
927	7833.993799
928	7833.715436
929	7831.598122
930	7825.015722
931	7821.071985
932	7815.074143
933	7813.559183
934	7808.719709
935	7804.524159
936	7798.394925
937	7795.884542
938	7792.667039
939	7790.481183
940	7784.667011
941	7783.282126
942	7778.932092
943	7772.929225
944	7771.689301
945	7769.733736
946	7769.531034
947	7763.885331
948	7759.414634
949	7753.000743
950	7751.392519
951	7749.439427
952	7747.676639
953	7744.200987
954	7739.577787
955	7737.74757
956	7729.927641
957	7725.923358
958	7725.827171
959	7723.203957
960	7721.877057
961	7720.322682
962	7717.341098
963	7714.10497
964	7710.859165
965	7708.047413
966	7704.33656
967	7703.154265
968	7698.299984
969	7693.934617
970	7690.78515
971	7688.736391
972	7688.425387
973	7682.894688
974	7675.971699
975	7675.887616
976	7671.22092
977	7667.658937
978	7665.99946
979	7663.703958
980	7660.097824
981	7654.508753
982	7651.626954
983	7645.343757
984	7640.341261
985	7637.192516
986	7634.659467
987	7631.711003
988	7629.026601
989	7627.314099
990	7623.429757
991	7620.649607
992	7614.410056
993	7611.600849
994	7606.578795
995	7605.909972
996	7602.504841
997	7599.475795
998	7596.571488
999	7594.280195
